Bridge Number According to Zucchetta,Bridge Name,Bridge Code,Canal Width (m),ID,Year Constructed,Date of Last Restoration,Year of Last Restoration,Time of Survey (24:00),Date of Survey,Survey Incomplete?,Private Bridge?,Address,Address Letter,Number of Street Address On Bridge,Street Addresses on Bridge,Canal Crossed,Segment Code,Northern Island Number,Southern Island Number,Northern Sestiere Code,Name of Northern Sestiere,Southern Sestiere Code,Name of Southern Sestiere,Number of Arches,Arch Style Code,Arch Style,Crooked Bridge?,Handicapped Accessible?,Number of Ramps,Construction Material Code,Construction Material,Numerical Condition of Bridge,Qualitative Condition of Bridge,Decorations,Numerical Condition of Decorations,Qualitative Condition of Decorations,Number of Northern Steps,Number of Southern Steps,Total Number of Steps,Height of Step (cm),Code for Material of Step Face,Face Material,Conditions of the Step Face,Description of Step Face Conditions,Step Depth (cm),Step Pavement Material Code,Step Pavement Material,Numerical Condition of Step Pavement Material,Qualitative Condition of Step Pavement Material,Minimum Step Width (m),Step Surface (Min),Total Surface Area of Steps (m^2) ,Material Code of Summit Pavement,Material of Summit Pavement,Numerical Condition of Summit Pavement,Qualitative Condition of Summit Pavement,Full Width Including Railings (m),Net Width of Bridge (m),Width of Summit (m),Length of Summit (m),Surface Area of Summit (m^2),Total Surface Area of Pavement (m^2),Surface Area From Map,Estimated Surface Area,Hypotenuse North (deg),Hypotenuse South (deg),N Cathetus (deg),S Cathetus (deg),Inclination North (deg),Inclination South (deg),Maximum Inclination (deg),Code for railing type,Type of Railing,Code for the material of the rail,Railing Material,Railing condition,Qualitative condition of Railing,Width of Eastern Railing (cm),Width of Western Railing (cm),Average railing width (cm),Average Height of Railing (m),Additional Handrail?,Protrusion North (m),Protrusion South (m),Span (m),Tide Level (m),Water level (cm),Height 1m North (m),Height Center (m),Height 1m South (m),Minimum Height (m),Average Height (m),Ratio of Span to Height,Thickness 2m North Of Center (m),Thickness 1m North Of Center (m),Central Thickness (m),Thickness 1m South of Center (m),Thickness 2m South of Center (m),Minimum Thickness (m),SE-N2,SE-N1,SE-C,SE-S1,SE-S2,H-N2,H-C,H-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Photo Number of Arch,Photo Number of Ramp,Photo Number of Reference Elevation Point,Reference to CAD Drawings,Latitude,Longitude,Notes,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Ponte Serenella,SERENE,28.39,25,,,,11:50,19-Dec-99,FALSE,FALSE,,,0,,Canale Serenella                                            ,CSER      ,205,206,MU,Murano,MU,Murano,1,7,Sesto Super Ribassato,FALSE,TRUE,2,43,"Metallo, Pietra d'Istria,  Mattoni e legno Lamellare",4,Ottime,,,,15,15,30,17,2,Pietra d'Istria,4,Ottime,35,3,Trachite,4,Ottime,3.75,1.31,39.38,4,Legno,4,Ottime,4.47,3.77,3.75,31,116.25,155.63,289.60,222.61,7.05,7.47,0,0,0,0,0,1,Piena,5,Legno Lamellare,4,Ottime,35,35,35.00,1.10,TRUE,0,0,28.39,0.23,0,3.91,3.91,3.91,3.91,3.91,7.26,1.10,1.10,1.10,1.10,1.10,1.10,2.2,2.2,2.2,2.2,2.2,5.88,5.88,5.88,1.1,1.1,1.1,1.1,1.1,C32,C33,,,,,Due cabine elettriche sotto le rampe a nord e a sud. Tre lampioni. Servoscala elettrico per disabili.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Ponte di S. Chiara,CHIAMU,10.13,24,,,,10:17,19-Dec-99,FALSE,FALSE,,,0,,Rio dei Vetrai                                              ,VETR      ,206,207,MU,Murano,MU,Murano,1,3,Policentrico,FALSE,FALSE,2,2,Pietra d'Istria,3,Buone,,,,12,12,24,14,2,Pietra d'Istria,2,Medie,42,8,Asfalto,2,Medie,3.25,1.37,32.76,8,Asfalto,2,Medie,4,3.92,5.3,4.32,22.90,55.66,56.60,56.13,5.04,5,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,3,Buone,4,4,4.00,0.82,FALSE,0.6,0.6,8.93,0.54,0,2.46,2.54,2.52,2.46,2.51,3.63,0.69,0.55,0.50,0.55,0.69,0.50,1.52,1.38,1.3,1.36,1.52,3.3,3.3,3.34,0.83,0.83,0.8,0.81,0.83,C30,C29,,,,,Presenza di vegetazione.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Ponte Ballarin,BALLA,11.36,23,,01-Jan-95,5,10:47,19-Dec-99,FALSE,FALSE,,,0,,Rio dei Vetrai                                              ,VETR      ,206,207,MU,Murano,MU,Murano,1,7,Sesto Super Ribassato,FALSE,TRUE,2,14,Mattoni e Pietra d'Istria,4,Ottime,Tre scudi a ovest e un leone a est,4,Ottime,12,12,24,14,2,Pietra d'Istria,4,Ottime,45,3,Trachite,4,Ottime,4.16,1.87,44.93,3,Trachite,4,Ottime,4.8,4.20,4.16,4.42,18.39,63.32,73.60,68.46,5.54,5.54,0,0,0,0,0,1,Piena,14,Mattoni e Pietra d'Istria,3,Buone,30,30,30.00,0.83,TRUE,0,0,11.36,0.46,0,2.07,2.7,2.4,2.07,2.39,5.49,0.70,0.58,0.52,0.52,0.59,0.52,1.53,1.39,1.36,1.36,1.43,3,3.6,3.3,0.83,0.81,0.84,0.84,0.84,C28,C27,,,,,"Presenza di due valvole di sfogo del metanodotto sulla rampa nord. Servoscala elettrico per portatori di handycap. Targa in Pietra d'Istria: ""Comune di Venezia. Restaurato Anno 1995"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Ponte S. Pietro Martire,PIEMAR,8.24,22,,01-Jan-95,5,9:44,19-Dec-99,FALSE,FALSE,,,0,,Rio dei Vetrai                                              ,VETR      ,207,206,MU,Murano,MU,Murano,1,3,Policentrico,FALSE,FALSE,2,14,Mattoni e Pietra d'Istria,4,Ottime,,,,13,13,3,14,2,Pietra d'Istria,4,Ottime,45,3,Trachite,4,Ottime,4.3,1.94,5.81,3,Trachite,4,Ottime,5.1,5.04,4.3,3.1,13.33,19.14,63.60,41.37,5.5,4.68,0,0,0,0,0,2,Vuoto Geometrico,19,Metallo e Pietra d'Istria,4,Ottime,3,3,3.00,1.04,FALSE,0.35,0.35,7.54,0.65,0,2.5,2.53,2.5,2.5,2.51,3.02,0.40,0.53,0.52,0.53,0.54,0.40,1.57,1.53,1.52,1.53,1.57,3.38,3.4,3.38,1.17,1,1,1,1.03,C26,C25,,,,,"Targa in Pietra d'Istria: ""Comune di Venezia. Restaurato Anno 1995"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Ponte Vivarini,VIVARI,33.18,21,,,,9:16,19-Dec-99,FALSE,FALSE,,,0,,Canal Grande                                                ,CGRA3     ,203,206,MU,Murano,MU,Murano,1,7,Sesto Super Ribassato,FALSE,FALSE,2,6,Metallo,4,Ottime,,,,28,27,55,15,13,Vuoto,,,40,4,Legno,4,Ottime,3.45,1.38,75.90,4,Legno,4,Ottime,4,3.90,3.77,16.45,62.02,137.92,172.40,155.16,13.9,13.6,0,0,0,0,0,3,Vuoto Decorato,19,Metallo e Pietra d'Istria,4,Ottime,5,5,5.00,0.97,FALSE,1,1,31.18,0.72,0,4.29,4.29,4.29,4.29,4.29,7.27,0.98,0.98,0.98,0.98,0.98,0.98,1.95,1.95,1.95,1.95,1.95,5.52,5.52,5.52,0.97,0.97,0.97,0.97,0.97,C24,C23,,,,,Targa commemorativa in ferro a S-O. Quattro semafori (due per parte). I primi due scalini sud  e i primi nove nord sono in Pietra d'Istria. Quattro lampioni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Ponte S. Donato,DONATO,24.12,20,,,,16:32,18-Dec-99,FALSE,FALSE,,,0,,Canale S. Donato                                            ,CDON1     ,203,204,MU,Murano,MU,Murano,1,6,Sesto Ribassato,FALSE,FALSE,2,14,Mattoni e Pietra d'Istria,3,Buone,Sette scudi ad est e sette ad ovest,2,Medie,19,20,39,14,2,Pietra d'Istria,3,Buone,40,3,Trachite,3,Buone,4.1,1.64,63.96,3,Trachite,3,Buone,4.92,4.91,4.1,4.19,17.18,81.14,150.40,115.77,11.8,11.24,0,0,0,0,0,1,Piena,14,Mattoni e Pietra d'Istria,3,Buone,40,40,40.00,0.97,TRUE,0.55,3.3,20.27,0.04,0,3.76,3.88,3.86,3.76,3.83,5.39,0.72,0.64,0.54,0.61,0.72,0.54,1.86,1.55,1.49,1.51,1.66,5.27,5.33,5.33,1.14,0.91,0.95,0.9,0.94,C19,C20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Ponte S. Martino,MARTMU,13.5,19,,,,16:10,18-Dec-99,FALSE,FALSE,,,1,1,Canale di S. Matteo                                         ,CTEO      ,202,204,MU,Murano,MU,Murano,1,6,Sesto Ribassato,FALSE,FALSE,2,9,Cemento Armato,3,Buone,,,,14,14,28,14,2,Pietra d'Istria,4,Ottime,40,3,Trachite,4,Ottime,1.7,0.68,19.04,3,Trachite,4,Ottime,1.87,1.79,1.7,7,11.90,30.94,47.70,39.32,4.3,4.15,0,0,0,0,0,3,Vuoto decorato,6,Metallo,2,Medie,4,4,4.00,0.89,FALSE,0,0,13.5,0,0,2.93,3.03,2.98,2.93,2.98,4.61,0.39,0.30,0.28,0.30,0.39,0.28,1.28,1.19,1.17,1.19,1.28,4.12,4.2,4.17,0.89,0.89,0.89,0.89,0.89,C18,C17,,,,,"Reti tecnologiche esterne, est ed ovest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Ponte Abate Zanetti,ABAZAN,17.9,18,,,,,19-Dec-99,TRUE,FALSE,,,0,,Canale S. Donato                                            ,CDON2     ,202,203,MU,Murano,MU,Murano,,99,Non Rilevabile,FALSE,FALSE,,99,Non Rilevabile,99,Non Rilevabile,,,,,,,,99,Non Rilevabile,99,Non Rilevabile,,99,Non Rilevabile,99,Non Rilevabile,,,,99,Non Rilevabile,99,Non Rilevabile,,,,,,,68.20,,,,,,,,,99,Non Rilevabile,99,Non Rilevabile,99,Non Rilevabile,,,,,FALSE,,,17.9,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ponte non rilevabile per lavori.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Ponte Zaniol,ZANIOL,17.48,17,,,,,19-Dec-99,TRUE,FALSE,,,0,,Canale S. Mattia                                            ,CDON2     ,202,203,MU,Murano,MU,Murano,,99,Non Rilevabile,FALSE,FALSE,,99,Non Rilevabile,99,Non Rilevabile,,,,,,,,99,Non Rilevabile,99,Non Rilevabile,,99,Non Rilevabile,99,Non Rilevabile,,,,99,Non Rilevabile,99,Non Rilevabile,,,,,,,48.20,,,,,,,,,99,Non Rilevabile,99,Non Rilevabile,99,Non Rilevabile,,,,,FALSE,,,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ponte non rilevabile per lavori.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Ponte del Campo Sportivo,SPORT,15.48,16,,,,8:50,19-Dec-99,FALSE,FALSE,,,0,,Canale S. Mattia                                            ,CTIA      ,201,203,MU,Murano,MU,Murano,3,8,Trapezoidale,FALSE,FALSE,2,44,Legno e Cemento Armato,3,Buone,,,,0,0,0,0,,,,,0,4,Legno,0,Pessime,,,,4,Legno,0,Pessime,2.66,2.36,2.4,6.74,16.18,16.18,46.30,31.24,4.7,4.84,0,0,0,0,0,2,Vuoto Geometrico,4,Legno,3,Buone,15,15,15.00,0.93,FALSE,4.95,4.6,5.93,0.76,0,2.4,2.4,2.4,2.4,2.40,2.47,0.36,0.34,0.34,0.34,0.36,0.34,1.28,1.28,1.28,1.28,1.28,2.92,2.92,2.92,0.92,0.94,0.94,0.94,0.92,C22,C21,,,,,Rampe senza gradini. Pilastri di sostegno in cemento armato.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
